nID;nID_ServiceTag_Parent;nID_ServiceTag_Child
1;1;11
10;1;29
11;1;32
12;1;33
13;1;34
14;1;35
15;1;36
16;1;37
17;1;38
18;1;39
19;1;40
2;1;14
20;1;41
21;1;50
22;1;54
23;1;55
24;1;57
25;1;69
26;1;71
27;1;72
28;1;77
29;1;78
3;1;17
30;1;79
31;1;80
32;1;84
33;2;12
34;2;15
35;2;19
36;2;24
37;2;26
38;2;28
39;2;30
4;1;18
40;2;31
41;2;46
42;2;47
43;2;48
44;2;49
45;2;54
46;2;55
47;2;56
48;2;67
49;2;73
5;1;20
50;2;74
51;2;75
52;2;82
53;3;52
54;3;53
55;4;43
56;4;44
57;4;45
58;4;59
59;4;60
6;1;21
60;4;61
61;4;62
62;4;76
63;5;13
64;5;52
65;5;81
66;6;16
67;6;58
68;6;66
69;6;68
7;1;22
70;6;70
71;7;10
72;7;65
73;8;9
75;8;42
76;8;51
77;8;63
78;8;64
79;8;83
8;1;23
81;6;86
82;6;87
83;6;88
9;1;27
84;4;89
